source,keyword,title,price_raw,url,image,normalized_name
lazada,ao khoac,Áo Khoác Nam Quần Áo Chống Nắng in hình Hàn Quốc Áo khoác trùm đầu siêu nhẹ,74.900 ₫,https://www.lazada.vn/products/pdp-i2671602453.html,https://img.lazcdn.com/g/p/a3de6dafe15300d7dbf4054fff4fd293.jpg_200x200q80.jpg,ao khoac nam quan ao chong nang in hinh han quoc ao khoac trum au sieu nhe
lazada,ao khoac,Áo Khoác  Nam Cao Cấp in tay- Dù cán dày mịn - Có túi trong- Túi ngoài có khoá kéo tiện lợi IT01,149.000 ₫,https://www.lazada.vn/products/pdp-i2504327743.html,https://img.lazcdn.com/g/ff/kf/S1be5257cee054276bd809a0d85faa7ffQ.jpg_200x200q80.jpg,ao khoac nam cao cap in tay du can day min co tui trong tui ngoai co khoa keo tien loi it01
lazada,ao khoac,Áo khoác nam Cao Cấp GOZIN.SHOP chất liệu gió tráng bạc chống tia UV chống nắng ngăn gió JA08,259.000 ₫,https://www.lazada.vn/products/pdp-i2503119588.html,https://img.lazcdn.com/g/p/8f2f6304d08d407fb4033ce498963c2e.jpg_200x200q80.jpg,ao khoac nam cao cap gozin shop chat lieu gio trang bac chong tia uv chong nang ngan gio ja08
lazada,ao khoac,Áo khoác bee đời mới vải xịn ( size 45 đến 120 kg ),125.000 ₫,https://www.lazada.vn/products/pdp-i2123663722.html,https://img.lazcdn.com/g/ff/kf/S20ccf00c9d094338a849ecfd8a6fb1a8O.jpg_200x200q80.jpg,ao khoac bee oi moi vai xin size 45 en 120 kg
lazada,ao khoac,Áo khoác Jacket mỏng cho mùa hè ngụy trang in trùm đầu có dây kéo áo khoác,103.000 ₫,https://www.lazada.vn/products/pdp-i3169095343.html,https://img.lazcdn.com/g/p/bcc06c133c15670ffb68f06e279bcde2.png_200x200q80.png,ao khoac jacket mong cho mua he nguy trang in trum au co day keo ao khoac
lazada,ao khoac,Áo khoác Bee chống nắng vải thun ( size 50 _ 95 kg),109.000 ₫,https://www.lazada.vn/products/pdp-i2408890125.html,https://img.lazcdn.com/g/ff/kf/S22ef6fbc2b5d4528b97fd24adeb6a180r.jpg_200x200q80.jpg,ao khoac bee chong nang vai thun size 50 95 kg
lazada,ao khoac,Áo Khoác Nam Cao Cấp . Túi ngoài có khoá kéo. Có túi trong tiện lợi PB01,169.000 ₫,https://www.lazada.vn/products/pdp-i2370077140.html,https://img.lazcdn.com/g/ff/kf/S783a2f6b7fea47efa5e6d847c80f3366y.jpg_200x200q80.jpg,ao khoac nam cao cap tui ngoai co khoa keo co tui trong tien loi pb01
lazada,ao khoac,ÁO KHOÁC HOODIE NAM NỮ PEACE STAR CHẤT NỈ DÀY PHOM FROM RỘNG CHỐNG LẠNH NẮNG NÓNG ĐÔNG HÈ UNISEX CAO CẤP MỚI - TOKYO FASHION,55.000 ₫,https://www.lazada.vn/products/pdp-i2042949271.html,https://img.lazcdn.com/g/p/cc2165e231563c4b98c74a3baeec8247.jpg_200x200q80.jpg,ao khoac hoodie nam nu peace star chat ni day phom from rong chong lanh nang nong ong he unisex cao cap moi tokyo fashion
lazada,ao khoac,Áo khoác hoodie zip nỉ mũ 2 lớp mẫu mới form rộng basic cho anh em lựa chọn.,59.888 ₫,https://www.lazada.vn/products/pdp-i2508240621.html,https://img.lazcdn.com/g/p/c0282808ba1462625b50ee64f0d54334.jpg_200x200q80.jpg,ao khoac hoodie zip ni mu 2 lop mau moi form rong basic cho anh em lua chon
lazada,ao khoac,"Áo Khoác Gió Nam 2 Lớp Lót Lông Bên trong Dày dặn. Bên ngoài Vải Gió Tráng Bạc Chống Nước, cản gió",116.000 ₫,https://www.lazada.vn/products/pdp-i2767283129.html,https://img.lazcdn.com/g/ff/kf/Sb52c986f8deb4dcfaf8e116e588e2a64T.jpg_200x200q80.jpg,ao khoac gio nam 2 lop lot long ben trong day dan ben ngoai vai gio trang bac chong nuoc can gio
lazada,ao khoac,Áo khoác grabb tay xám ( ra.p ),125.000 ₫,https://www.lazada.vn/products/pdp-i2322224161.html,https://img.lazcdn.com/g/ff/kf/S879ec7bca9c3494b970219e377b785d5b.jpg_200x200q80.jpg,ao khoac grabb tay xam ra p
lazada,vi,"Siêu Vi Kim Thảo Dược, Vi Kim Thảo Mộc, Vi Sinh Thảo Mộc Chính Hãng lọ 50g làm được 15 mặt",178.000 ₫,https://www.lazada.vn/products/pdp-i2393873772.html,https://img.lazcdn.com/g/p/550fb2c46e58a557a93a7fefade46ba2.png_200x200q80.png,sieu vi kim thao duoc vi kim thao moc vi sinh thao moc chinh hang lo 50g lam uoc 15 mat
lazada,vi,"Vi Tảo Biển Sạch  Mụn, Thâm, Nám,...Dùng Cho Mặt, Lưng, Bắp Tay, Mông.",110.000 ₫,https://www.lazada.vn/products/pdp-i2358104086.html,https://img.lazcdn.com/g/ff/kf/Sa6750c4adefa4c038906d4fd2f7df746U.jpg_200x200q80.jpg,vi tao bien sach mun tham nam dung cho mat lung bap tay mong
lazada,vi,"Kem Dưỡng Ẩm VI Derm Retinol Age-Defying Treatment Moisturizer Dưỡng Ẩm, chống lão hoá (50ml)",2.800.000 ₫,https://www.lazada.vn/products/pdp-i2426369843.html,https://img.lazcdn.com/g/p/0e42b642e14d0d7c0431a65ee58817e0.jpg_200x200q80.jpg,kem duong am vi derm retinol age defying treatment moisturizer duong am chong lao hoa 50ml
lazada,vi,Kem chống nắng VI Derm Daily UV Defense Broad Spectrum Sunscreen Spf 50 (59ml),1.192.000 ₫,https://www.lazada.vn/products/pdp-i2426423441.html,https://img.lazcdn.com/g/p/c33085540ecbe48eb272039c7bbdaec6.jpg_200x200q80.jpg,kem chong nang vi derm daily uv defense broad spectrum sunscreen spf 50 59ml
lazada,vi,Sandal bé gái cao cấp VI VI S268,194.040 ₫,https://www.lazada.vn/products/pdp-i1925769699.html,https://img.lazcdn.com/g/p/0c43a0e0de369c0e426077331b671f4f.jpg_200x200q80.jpg,sandal be gai cao cap vi vi s268
lazada,vi,Kem chống nắng Vi sun UV SPF 50+ UVB UVA PA+++ ( Tuýp 50g),79.000 ₫,https://www.lazada.vn/products/pdp-i2598909207.html,https://img.lazcdn.com/g/p/af63cdc8e1457c3fefd1cd7c7205532b.jpg_200x200q80.jpg,kem chong nang vi sun uv spf 50 uvb uva pa tuyp 50g
lazada,vi,Vi kim tảo biển không sưng không đỏ bong nhanh mạnh DA SÁNG BÓNG TỰ NHIÊN DA MẶT CĂNG MỊNTRẮNG HỒNG sạch MỤN SE KHÍT LỖ CHÂN LÔNG HẾT THÂM DO MỤN  NÁM,41.800 ₫,https://www.lazada.vn/products/pdp-i2205794509.html,https://img.lazcdn.com/g/p/6f0df9d87ef055090318b0cdd0bb28d4.jpg_200x200q80.jpg,vi kim tao bien khong sung khong o bong nhanh manh da sang bong tu nhien da mat cang mintrang hong sach mun se khit lo chan long het tham do mun nam
